Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-11-27 17:51:02,"Afternoon Workout",1m,"Rowing (Machine)",1,0,0,1000.0,2755,"","",
2023-11-30 17:19:38,"Full Body C",1h 1m,"Bulgarian Split Squat",1,80.0,12,0,0,"","",
2023-11-30 17:19:38,"Full Body C",1h 1m,"Bulgarian Split Squat",2,80.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Bulgarian Split Squat",3,80.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Overhead Press (Barbell)",1,50.0,12,0,0,"",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Overhead Press (Barbell)",2,50.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Overhead Press (Barbell)",3,50.0,8,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Incline Bench Press (Dumbbell)",1,40.0,8,0,0,"Waiting on lighter dumbbells\n",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Incline Bench Press (Dumbbell)",2,40.0,8,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Chest Fly (Dumbbell)",1,25.0,12,0,0,"Relatively easy",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Chest Fly (Dumbbell)",2,25.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Chest Fly (Dumbbell)",3,25.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Leg Extension (Machine)",1,160.0,12,0,0,"Just curious andy galpin said should be able to do body weight",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Face Pull (Cable)",1,15.0,12,0,0,"",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Face Pull (Cable)",2,15.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Seated Row (Cable)",1,65.0,12,0,0,"",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Seated Row (Cable)",2,65.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Lat Pulldown (Cable)",1,100.0,12,0,0,"Bicep grip",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Lat Pulldown (Cable)",2,100.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Lat Pulldown (Cable)",3,100.0,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Hammer Curl (Dumbbell)",1,22.5,12,0,0,"",,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Hammer Curl (Dumbbell)",2,22.5,12,0,0,,,
2023-11-30 17:19:38,"Full Body C",1h 1m,"Plank",1,0,0,0,60,"",,
2023-12-04 08:07:53,"Full Body B",59m,"Pull Up",1,0,10,0,0,"","",
2023-12-04 08:07:53,"Full Body B",59m,"Pull Up",2,0,8,0,0,,,
